House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
8,Thomas Roads,Ryan,Hunt,105,Husband,Married,Male,Retired Broadcast presenter,None,No Religion
1,Iron Avenue,Jordan,Potter,21,Head,Single,Male,University Student,None,Christian
1,Iron Avenue,Debra,Gill,31,None,Divorced,Female,Unemployed,None,No Religion
1,Iron Avenue,John,Akhtar,52,None,Single,Male,Astronomer,None,No Religion
2,Iron Avenue,Kerry,John,60,Head,Divorced,Female,"Pilot, airline",None,Christian
2,Iron Avenue,Lawrence,John,30,Son,Divorced,Male,Press photographer,None,No Religion
3,Iron Avenue,Ricky,Evans,51,Head,Single,Male,Radio broadcast assistant,None,Christian
3,Iron Avenue,Charlene,Hunt,49,Partner,Single,Female,"Librarian, public",None,No Religion
4,Iron Avenue,Rosie,Collins,33,Head,Married,Female,Museum/gallery curator,None,Hindu
4,Iron Avenue,Jodie,Collins,30,Wife,Married,Female,Unemployed,None,No Religion
5,Iron Avenue,Maria,Jackson,21,Head,Married,Female,University Student,None,No Religion
5,Iron Avenue,Guy,Jackson,25,Husband,Married,Male,Microbiologist,None,No Religion
6,Iron Avenue,Albert,Richards,41,Head,Married,Male,Further education lecturer,None,Christian
6,Iron Avenue,Danielle,Richards,36,Wife,Married,Female,Ambulance person,None,Christian
6,Iron Avenue,Suzanne,Richards,16,Daughter,NA,Female,Student,None,Christian
7,Iron Avenue,Claire,Alexander,37,Head,Married,Female,Office manager,None,Christian
7,Iron Avenue,Bernard,Alexander,39,Husband,Married,Male,"Teacher, adult education",None,No Religion
8,Iron Avenue,Graham,Greenwood,66,Head,Widowed,Male,"Development worker, community",None,Christian
9,Iron Avenue,Anthony,Kelly,81,Head,Married,Male,Retired Sports administrator,None,Christian
9,Iron Avenue,Joyce,Kelly,78,Wife,Married,Female,"Retired Investment banker, operational",None,No Religion
10,Iron Avenue,Louise,Gregory,56,Head,Married,Female,"Pharmacist, community",None,Christian
10,Iron Avenue,Matthew,Gregory,56,Husband,Married,Male,Risk manager,None,Christian
10,Iron Avenue,Catherine,Gregory,27,Daughter,Single,Female,Chief of Staff,None,Christian
10,Iron Avenue,Hannah,Mills-Gregory,25,Daughter,Divorced,Female,"Engineer, materials",None,No Religion
10,Iron Avenue,Christian,Mills-Gregory,0,Son,NA,Male,Child,None,No Religion
11,Iron Avenue,Gerard,White,22,Head,Married,Male,"Programmer, multimedia",None,Muslim
11,Iron Avenue,Sarah,White,19,Wife,Married,Female,University Student,None,Muslim
12,Iron Avenue,Stephanie,Allen,51,Head,Married,Female,Community education officer,None,Christian
12,Iron Avenue,Geoffrey,Allen,55,Husband,Married,Male,Unemployed,None,Christian
13,Iron Avenue,Adam,Collins,69,Head,Married,Male,Retired Soil scientist,None,No Religion
13,Iron Avenue,Frances,Collins,72,Wife,Married,Female,Retired Medical physicist,None,No Religion
14,Iron Avenue,Joel,Scott,21,Head,Single,Male,University Student,None,No Religion
15,Iron Avenue,Georgia,Evans,84,Head,Married,Female,Retired Ergonomist,None,No Religion
15,Iron Avenue,Stephen,Evans,85,Husband,Married,Male,"Retired Designer, exhibition/display",None,No Religion
16,Iron Avenue,Charlene,Lambert,65,Head,Widowed,Female,Unemployed,None,Christian
16,Iron Avenue,Benjamin,Lambert,34,Son,Divorced,Male,Statistician,None,Christian
16,Iron Avenue,Judith,Lambert,25,Daughter,Single,Female,Clothing/textile technologist,None,No Religion
16,Iron Avenue,Diana,Lambert,22,Daughter,Divorced,Female,University Student,None,No Religion
16,Iron Avenue,Jeffrey,Fox,21,Son,Single,Male,University Student,None,Christian
17,Iron Avenue,Kathryn,James,48,Head,Married,Female,Ophthalmologist,None,Christian
17,Iron Avenue,Jason,James,51,Husband,Married,Male,"Surveyor, minerals",None,Christian
17,Iron Avenue,Jayne,James,9,Daughter,NA,Female,Student,None,No Religion
17,Iron Avenue,Julian,James,8,Son,NA,Male,Student,None,Christian
18,Iron Avenue,Iain,Taylor,49,Head,Divorced,Male,Press photographer,None,No Religion
18,Iron Avenue,Jade,Taylor,26,Daughter,Single,Female,Software engineer,None,No Religion
18,Iron Avenue,Cheryl,Taylor,23,Daughter,Single,Female,Logistics and distribution manager,None,No Religion
18,Iron Avenue,Katherine,Taylor,22,Daughter,Single,Female,University Student,None,No Religion
19,Iron Avenue,Jennifer,Stephens,67,Head,Married,Female,Osteopath,None,No Religion
19,Iron Avenue,Maurice,Davies,69,Husband,Married,Male,Retired Medical secretary,None,No Religion
19,Iron Avenue,Lynne,Stephens,34,Daughter,Single,Female,Retail banker,None,No Religion
20,Iron Avenue,Ann,Chambers,69,Head,Widowed,Female,Retired Manufacturing engineer,None,Christian
1,Atholl Lane,Mohamed,Lewis,19,Head,Single,Male,University Student,None,No Religion
1,Atholl Lane,Beverley,Morton,19,Partner,Single,Female,University Student,None,No Religion
2,Atholl Lane,Alison,Brown,62,Head,Single,Female,Information officer,None,Christian
3,Atholl Lane,Liam,Kelly,31,Head,Single,Male,Outdoor activities/education manager,None,Christian
4,Atholl Lane,Kate,Atkins,69,Head,Single,Female,Retired Barrister,None,Christian
5,Atholl Lane,Leslie,Davies,76,Head,Married,Male,Retired Optometrist,None,No Religion
5,Atholl Lane,Tina,Davies,72,Wife,Married,Female,Retired Haematologist,None,No Religion
6,Atholl Lane,Bethany,Peters,50,Head,Divorced,Female,"Scientist, physiological",None,Christian
6,Atholl Lane,Terence,Peters,11,Son,NA,Male,Student,None,NA
7,Atholl Lane,Glenn,James,101,Head,Widowed,Male,Retired Learning disability nurse,None,Christian
8,Atholl Lane,Barry,Taylor,25,Head,Divorced,Male,Insurance risk surveyor,None,No Religion
9,Atholl Lane,Lee,Slater,58,Head,Single,Male,Lobbyist,None,No Religion
10,Atholl Lane,Debra,Wright,31,Head,Married,Female,"Civil engineer, contracting",None,Muslim
10,Atholl Lane,Ricky,Wright,33,Husband,Married,Male,Sport and exercise psychologist,None,Muslim
10,Atholl Lane,Gerard,Wright,15,Son,NA,Male,Student,None,Muslim
11,Atholl Lane,Rebecca,Morris,26,Head,Single,Female,"Nurse, children's",None,No Religion
12,Atholl Lane,Sheila,Gibbs,54,Head,Divorced,Female,Special effects artist,None,No Religion
13,Atholl Lane,Suzanne,Duncan,43,Head,Single,Female,Amenity horticulturist,None,Christian
14,Atholl Lane,Elizabeth,Owen,35,Head,Single,Female,Chief Operating Officer,None,Christian
14,Atholl Lane,Denis,Hancock,34,Partner,Single,Male,Television camera operator,None,No Religion
14,Atholl Lane,Claire,Owen,11,Daughter,NA,Female,Student,None,Christian
15,Atholl Lane,Edward,Archer,28,Head,Single,Male,"Psychologist, sport and exercise",None,No Religion
16,Atholl Lane,Ricky,Chan,54,Head,Single,Male,Health and safety inspector,None,Christian
17,Atholl Lane,Joanne,Joyce,62,Head,Single,Female,Intelligence analyst,None,Christian
18,Atholl Lane,Trevor,Jarvis,66,Head,Married,Male,Community arts worker,None,No Religion
18,Atholl Lane,Marian,Jarvis,61,Wife,Married,Female,Location manager,None,No Religion
19,Atholl Lane,Jodie,Singh,44,Head,Divorced,Female,Fine artist,None,Christian
19,Atholl Lane,Frederick,Singh,9,Son,NA,Male,Student,None,NA
20,Atholl Lane,Rosie,Young,89,Head,Divorced,Female,Retired Chartered certified accountant,None,Christian
21,Atholl Lane,Gemma,Pearce,34,Head,Widowed,Female,Legal secretary,None,Christian
21,Atholl Lane,Charlene,Pearce,1,Daughter,NA,Female,Child,None,NA
22,Atholl Lane,Bruce,Allen,24,Head,Married,Male,"Scientist, forensic",None,Muslim
22,Atholl Lane,Zoe,Allen,20,Wife,Married,Female,Garment/textile technologist,None,Muslim
23,Atholl Lane,Julie,Clark,79,Head,Divorced,Female,Retired Public house manager,None,Christian
24,Atholl Lane,Dorothy,Riley,26,Head,Married,Female,Ergonomist,None,Christian
24,Atholl Lane,Jacob,Riley,27,Husband,Married,Male,Archivist,None,Christian
25,Atholl Lane,Joel,Roberts,72,Head,Single,Male,"Retired Nurse, mental health",None,Christian
26,Atholl Lane,Julia,Carter,33,Head,Married,Female,"Exhibitions officer, museum/gallery",None,Christian
26,Atholl Lane,Bruce,Carter,37,Husband,Married,Male,Animal nutritionist,None,Christian
26,Atholl Lane,Francesca,Carter,5,Daughter,Married,Female,Student,None,Christian
27,Atholl Lane,Angela,Nash,35,Head,Single,Female,Pensions consultant,None,Christian
27,Atholl Lane,Jeffrey,Nash,7,Son,NA,Male,Student,None,NA
28,Atholl Lane,Roger,Rogers,73,Head,Divorced,Male,Retired Clinical research associate,None,No Religion
1,Hunter Squares,John,Davies,51,Head,Married,Male,"Designer, multimedia",None,Christian
1,Hunter Squares,Stacey,Davies,44,Wife,Married,Female,Herpetologist,None,No Religion
2,Hunter Squares,Dorothy,Brown,69,Head,Married,Female,Retired Public house manager,None,Christian
2,Hunter Squares,Louis,Brown,68,Husband,Married,Male,"Retired Producer, television/film/video",None,Christian
3,Hunter Squares,Cheryl,Ellis,85,Head,Married,Female,Retired Geophysical data processor,None,Christian
3,Hunter Squares,Glen,Ellis,86,Husband,Married,Male,Retired Medical illustrator,None,No Religion
4,Hunter Squares,Ellie,Carter,48,Head,Single,Female,"Accountant, chartered management",None,No Religion
4,Hunter Squares,Joshua,Carter,50,Cousin,Single,Male,Careers adviser,None,No Religion
5,Hunter Squares,Suzanne,Mason,47,Head,Married,Female,Ecologist,None,Christian
5,Hunter Squares,Dean,Mason,50,Husband,Married,Male,Field trials officer,None,Christian
5,Hunter Squares,Graeme,Davey-Mason,20,Son,Single,Male,University Student,None,Christian
5,Hunter Squares,Frederick,Davey-Mason,16,Son,NA,Male,Student,None,Christian
6,Hunter Squares,Hayley,Lewis,22,Head,Single,Female,University Student,None,
6,Hunter Squares,Allan,Chapman,22,None,Single,Male,University Student,None,No Religion
6,Hunter Squares,Linda,Mills,19,None,Single,Female,University Student,None,Christian
6,Hunter Squares,Albert,Taylor,21,None,Single,Male,University Student,None,Christian
7,Hunter Squares,Kieran,Owen,43,Head,Single,Male,Sports coach,None,No Religion
8,Hunter Squares,Helen,Hussain,35,Head,Married,Female,Unemployed,None,No Religion
8,Hunter Squares,Reece,Hussain,37,Husband,Married,Male,Artist,None,No Religion
8,Hunter Squares,Jamie,Hussain,2,Son,NA,Male,Child,None,No Religion
8,Hunter Squares,Sian,Hussain,0,Daughter,NA,Female,Child,None,No Religion
9,Hunter Squares,Andrew,Wood,54,Head,Single,Male,"Designer, exhibition/display",None,Christian
9,Hunter Squares,Heather,Gallagher,6,Granddaughter,NA,Female,Student,None,NA
10,Hunter Squares,Leah,Jones,23,Head,Single,Female,Academic librarian,None,Christian
1,Hove Close,Sam,Marsh,68,Head,Widowed,Male,"Retired Research officer, trade union",None,Christian
2,Hove Close,Carole,Steele,49,Head,Married,Female,Community development worker,None,Christian
2,Hove Close,Stewart,Steele,51,Husband,Married,Male,Armed forces training and education officer,None,Christian
3,Hove Close,Donna,Perry,53,Head,Divorced,Female,Unemployed,None,Christian
3,Hove Close,Lucy,Perry,14,Daughter,NA,Female,Student,None,NA
4,Hove Close,Eileen,Hughes,58,Head,Divorced,Female,Unemployed,None,Christian
4,Hove Close,Owen,Hughes,30,Son,Divorced,Male,Ecologist,None,Christian
4,Hove Close,Janet,Hughes,26,Daughter,Single,Female,Radiation protection practitioner,None,Christian
4,Hove Close,Julian,Hughes,26,Son,Divorced,Male,Unemployed,None,No Religion
4,Hove Close,Paige,Hughes,26,Daughter,Divorced,Female,Unemployed,None,Christian
4,Hove Close,Joanna,Hughes,25,Daughter,Single,Female,Materials engineer,None,No Religion
5,Hove Close,Karl,Robson,41,Head,Single,Male,Medical sales representative,None,No Religion
5,Hove Close,Lydia,Akhtar,60,None,Single,Female,Probation officer,None,Christian
5,Hove Close,Lindsey,Clements,33,None,Single,Female,Private music teacher,None,No Religion
6,Hove Close,Aaron,Mills,37,Head,Single,Male,"Teacher, secondary school",None,Christian
6,Hove Close,Nicholas,Mills,18,Son,Single,Male,Student,None,Christian
6,Hove Close,Clive,Mills,18,Son,Single,Male,Student,None,Christian
6,Hove Close,Katy,Mills,15,Daughter,NA,Female,Student,None,NA
6,Hove Close,Anna,Mills,15,Daughter,NA,Female,Student,None,NA
6,Hove Close,Marilyn,Mills,14,Daughter,NA,Female,Student,None,NA
7,Hove Close,Arthur,Warren,18,Head,Single,Male,Student,None,
7,Hove Close,Kirsty,Gibbs,19,Partner,Single,Female,"Copywriter, advertising",None,
8,Hove Close,Hayley,Rowley,53,Head,Married,Female,"Conservator, furniture",None,No Religion
8,Hove Close,Daniel,Rowley,55,Husband,Married,Male,Data processing manager,None,No Religion
8,Hove Close,Clare,Rowley,21,Daughter,Widowed,Female,University Student,None,No Religion
8,Hove Close,Thomas,Rowley,5,Son,NA,Male,Student,None,No Religion
9,Hove Close,Amanda,Davies,29,Head,Widowed,Female,Furniture conservator/restorer,None,No Religion
9,Hove Close,Kelly,Davies,5,Adopted Daughter,NA,Female,Student,None,NA
10,Hove Close,Ronald,White,52,Head,Married,Male,Firefighter,None,No Religion
10,Hove Close,Deborah,White,51,Wife,Married,Female,Diagnostic radiographer,None,No Religion
11,Hove Close,Chloe,Herbert,59,Head,Divorced,Female,Theme park manager,None,No Religion
11,Hove Close,Tracey,Herbert,36,Daughter,Single,Female,"Doctor, general practice",None,No Religion
12,Hove Close,Pamela,Adams,67,Head,Widowed,Female,Pathologist,None,Christian
13,Hove Close,Carolyn,Palmer-Pearce,36,Head,Divorced,Female,Unemployed,None,No Religion
13,Hove Close,Paul,Palmer-Pearce,19,Son,Single,Male,University Student,None,No Religion
13,Hove Close,Bethany,Palmer-Pearce,18,Daughter,Single,Female,Student,None,No Religion
13,Hove Close,Megan,Palmer-Pearce,16,Daughter,NA,Female,Student,None,NA
13,Hove Close,Shaun,Palmer-Pearce,13,Son,NA,Male,Student,None,NA
13,Hove Close,Paul,Palmer-Pearce,9,Son,NA,Male,Student,None,NA
14,Hove Close,Kathryn,Khan,48,Head,Single,Female,Unemployed,None,Christian
14,Hove Close,Luke,Khan,14,Son,NA,Male,Student,None,NA
14,Hove Close,Mohammed,Khan,11,Son,NA,Male,Student,None,NA
14,Hove Close,Patricia,Khan,7,Daughter,NA,Female,Student,None,NA
14,Hove Close,Scott,Khan,4,Son,Divorced,Male,Child,None,NA
15,Hove Close,Sam,Hall,50,Head,Single,Male,Patent examiner,None,Christian
15,Hove Close,Josephine,Haynes,45,Partner,Single,Female,Horticultural therapist,None,Christian
1,Crawford Greens,Ruth,Bibi,51,Head,Single,Female,Unemployed,None,Christian
1,Crawford Greens,Melanie,Bibi,10,Daughter,NA,Female,Student,None,NA
2,Crawford Greens,Gillian,James,56,Head,Single,Female,"Engineer, materials",None,Christian
3,Crawford Greens,Grace,Davies,35,Head,Divorced,Female,Arboriculturist,None,Christian
3,Crawford Greens,Ann,Morris,31,Cousin,Single,Female,Charity officer,None,Christian
3,Crawford Greens,Gareth,Taylor,54,Lodger,Single,Male,Insurance account manager,None,Christian
4,Crawford Greens,Bethany,Allen,80,Head,Divorced,Female,Retired Intelligence analyst,None,No Religion
5,Crawford Greens,Chelsea,Taylor,32,Head,Single,Female,"Psychologist, occupational",None,Christian
5,Crawford Greens,Gareth,Reid,34,Partner,Single,Male,Accounting technician,None,No Religion
6,Crawford Greens,Hollie,Hussain,37,Head,Single,Female,Advertising account planner,None,Christian
6,Crawford Greens,Karl,Hughes,40,Partner,Single,Male,"Horticulturist, commercial",None,Christian
7,Crawford Greens,Kevin,Williams,79,Head,Widowed,Male,"Retired Therapist, drama",None,No Religion
8,Crawford Greens,Eileen,Davis,54,Head,Divorced,Female,Paediatric nurse,None,No Religion
9,Crawford Greens,Abigail,Watson,51,Head,Single,Female,General practice doctor,None,Christian
10,Crawford Greens,Sandra,Wood,34,Head,Single,Female,Chartered legal executive (England and Wales),None,No Religion
10,Crawford Greens,Jason,Smith,39,Partner,Single,Male,Learning disability nurse,None,No Religion
11,Crawford Greens,Kerry,Jennings,76,Head,Widowed,Female,Retired Licensed conveyancer,None,No Religion
12,Crawford Greens,Kate,Watkins,66,Head,Married,Female,Medical technical officer,None,Christian
12,Crawford Greens,Conor,Watkins,73,Husband,Married,Male,Retired Printmaker,None,Christian
12,Crawford Greens,Bethan,Watkins,39,Daughter,Divorced,Female,Social researcher,Blind,Christian
12,Crawford Greens,Leah,Watkins,35,Daughter,Single,Female,Theatre manager,None,Christian
13,Crawford Greens,Megan,Evans,87,Head,Widowed,Female,Retired Television/film/video producer,None,No Religion
14,Crawford Greens,Adrian,Woodward,50,Head,Single,Male,"Radiographer, therapeutic",None,Christian
15,Crawford Greens,Louise,Hill,63,Head,Divorced,Female,Unemployed,None,Christian
15,Crawford Greens,Lindsey,Hill,30,Daughter,Divorced,Female,Primary school teacher,None,Christian
16,Crawford Greens,Dominic,Heath,32,Head,Single,Male,Radio broadcast assistant,None,No Religion
1,Glasgowband Street,Carole,Palmer,51,Head,Married,Female,"Biochemist, clinical",None,Christian
1,Glasgowband Street,Ashley,Palmer,53,Husband,Married,Male,"Engineer, automotive",None,No Religion
1,Glasgowband Street,Glenn,Palmer,26,Son,Single,Male,Tax inspector,None,Christian
1,Glasgowband Street,Sian,Palmer,24,Daughter,Divorced,Female,Administrator,None,No Religion
1,Glasgowband Street,Wendy,Palmer,22,Daughter,Single,Female,University Student,None,Christian
2,Glasgowband Street,Stacey,Smith,38,Head,Divorced,Female,Volunteer coordinator,None,Christian
3,Glasgowband Street,Ashleigh,McKenzie,71,Head,Married,Female,Retired Health promotion specialist,None,No Religion
3,Glasgowband Street,Norman,McKenzie,75,Husband,Married,Male,Retired Film/video editor,None,No Religion
4,Glasgowband Street,Norman,Wilkinson,26,Head,Single,Male,Telecommunications researcher,None,Christian
4,Glasgowband Street,Katy,Coleman,32,None,Single,Female,Media planner,None,No Religion
4,Glasgowband Street,Lauren,Cook,35,None,Single,Female,Ambulance person,None,Christian
4,Glasgowband Street,Frank,Ford,41,None,Single,Male,Photographer,None,Christian
5,Glasgowband Street,Tracy,Bennett,51,Head,Single,Female,Unemployed,None,Christian
5,Glasgowband Street,Patrick,Bennett,25,Son,Divorced,Male,PhD Student,None,No Religion
6,Glasgowband Street,Kerry,Cox,20,Head,Married,Female,Art therapist,None,Christian
6,Glasgowband Street,Duncan,Cox,19,Husband,Married,Male,University Student,None,Christian
7,Glasgowband Street,Shirley,Jenkins,44,Head,Divorced,Female,Estate manager/land agent,None,No Religion
7,Glasgowband Street,Tina,Jenkins,7,Daughter,NA,Female,Student,None,NA
8,Glasgowband Street,Joanne,White,40,Head,Single,Female,General practice doctor,None,Christian
8,Glasgowband Street,Maureen,White,7,Daughter,NA,Female,Student,None,NA
9,Glasgowband Street,Elaine,Connor,20,Head,Married,Female,University Student,None,Hindu
9,Glasgowband Street,Denis,Connor,22,Husband,Married,Male,University Student,None,Hindu
10,Glasgowband Street,Susan,Dixon,31,Head,Single,Female,"Lecturer, higher education",None,No Religion
10,Glasgowband Street,Hilary,Dixon,12,Daughter,NA,Female,Student,None,NA
10,Glasgowband Street,Connor,Dixon,11,Son,Single,Male,Student,None,NA
1,Glory Springs,Irene,Hope,40,Head,Single,Female,Acupuncturist,None,No Religion
1,Glory Springs,Glenn,Poole-Hope,53,Cousin,Single,Male,Commercial art gallery manager,None,No Religion
2,Glory Springs,Yvonne,Begum,77,Head,Widowed,Female,Retired Clinical molecular geneticist,None,No Religion
3,Glory Springs,Maureen,Chapman,78,Head,Married,Female,Retired Television/film/video producer,Unhealthy,Christian
3,Glory Springs,Simon,Chapman,78,Husband,Married,Male,"Retired Psychologist, sport and exercise",None,Christian
4,Glory Springs,Timothy,Perry,76,Head,Divorced,Male,Retired Cytogeneticist,None,Christian
5,Glory Springs,Lauren,Parkinson,35,Head,Single,Female,"Engineer, communications",None,Christian
5,Glory Springs,Leonard,Murphy,31,Partner,Single,Male,Community education officer,None,Christian
5,Glory Springs,Sam,Parkinson,11,Son,NA,Male,Student,Mental Disability,Christian
6,Glory Springs,June,Stevens,66,Head,Widowed,Female,"Radiographer, diagnostic",None,Christian
7,Glory Springs,Jeremy,Evans,51,Head,Single,Male,Air cabin crew,None,No Religion
8,Glory Springs,Richard,Oliver,67,Head,Married,Male,Orthoptist,None,Christian
8,Glory Springs,Diane,Oliver,66,Wife,Married,Female,Careers information officer,None,Christian
9,Glory Springs,Janet,Pollard,48,Head,Married,Female,"Engineer, maintenance",None,No Religion
9,Glory Springs,Jack,Pollard,50,Husband,Married,Male,Unemployed,None,No Religion
9,Glory Springs,Terence,Pollard,19,Son,Single,Male,University Student,None,No Religion
9,Glory Springs,Lorraine,Pollard,8,Daughter,NA,Female,Student,None,No Religion
10,Glory Springs,Holly,Johnston,31,Head,Single,Female,"Copywriter, advertising",None,No Religion
1,Oak Crescent,Georgina,Bishop,56,Head,Single,Female,Warehouse manager,None,No Religion
2,Oak Crescent,Alice,Ward,37,Head,Single,Female,Unemployed,None,Christian
2,Oak Crescent,Ellie,Ward,3,Daughter,NA,Female,Child,None,NA
3,Oak Crescent,Reece,North,84,Head,Widowed,Male,"Retired Producer, television/film/video",None,Christian
4,Oak Crescent,Lindsey,O'Sullivan,44,Head,Married,Female,"Accountant, chartered certified",None,Christian
4,Oak Crescent,Kyle,O'Sullivan,46,Husband,Married,Male,"Psychologist, prison and probation services",None,Christian
4,Oak Crescent,Liam,O'Sullivan,23,Son,Single,Male,"Psychologist, occupational",None,Christian
4,Oak Crescent,Richard,O'Sullivan,20,Son,Single,Male,University Student,None,Christian
5,Oak Crescent,Jack,Dunn,32,Head,Single,Male,Planning and development surveyor,None,Muslim
6,Oak Crescent,Wayne,Lawrence,71,Head,Divorced,Male,Retired Operations geologist,None,Christian
7,Oak Crescent,Stuart,Morgan,44,Head,Divorced,Male,Human resources officer,None,Christian
8,Oak Crescent,Paige,Parsons,64,Head,Single,Female,"Programmer, systems",None,Christian
9,Oak Crescent,Charlie,Daly,31,Head,Married,Male,Chief of Staff,None,No Religion
9,Oak Crescent,Georgia,Daly,29,Wife,Married,Female,Estate manager/land agent,None,No Religion
10,Oak Crescent,Cameron,Curtis,65,Head,Divorced,Male,Make,None,Christian
11,Oak Crescent,Dominic,Dyer,28,Head,Single,Male,Unemployed,None,No Religion
12,Oak Crescent,Gail,McLean,84,Head,Widowed,Female,"Retired Engineer, biomedical",None,Christian
13,Oak Crescent,Judith,Cartwright,51,Head,Married,Female,Trade mark attorney,None,Christian
13,Oak Crescent,Max,Cartwright,48,Husband,Married,Male,"Surveyor, quantity",None,Christian
13,Oak Crescent,Henry,Cartwright,26,Son,Single,Male,"Scientist, marine",None,Christian
14,Oak Crescent,Samuel,Williams,30,Head,Widowed,Male,IT sales professional,None,Christian
14,Oak Crescent,Peter,Baxter,26,Sibling,Single,Male,Operational researcher,None,Christian
14,Oak Crescent,Kyle,Oliver,40,Lodger,Single,Male,Government social research officer,None,Christian
15,Oak Crescent,Jade,Williams,24,Head,Single,Female,Health and safety inspector,None,No Religion
16,Oak Crescent,Alan,Conway,34,Head,Single,Male,Financial trader,None,Christian
17,Oak Crescent,Rosie,Smith,39,Head,Divorced,Female,"Engineer, biomedical",None,Christian
17,Oak Crescent,Matthew,Smith,12,Son,NA,Male,Student,None,NA
18,Oak Crescent,William,O'Brien,22,Head,Single,Male,University Student,None,Christian
1,Kennedy Lock,Hilary,Poole,23,Head,Married,Female,"Surveyor, mining",None,Christian
1,Kennedy Lock,Francis,Poole,23,Husband,Married,Male,Professor Emeritus,None,No Religion
1,Kennedy Lock,Rebecca,Poole,1,Daughter,NA,Female,Child,None,Christian
2,Kennedy Lock,Malcolm,Turner,46,Head,Single,Male,Volunteer coordinator,None,Christian
3,Kennedy Lock,Deborah,Roberts,52,Head,Married,Female,"Designer, ceramics/pottery",None,No Religion
3,Kennedy Lock,Jay,Roberts,51,Husband,Married,Male,Psychiatric nurse,None,No Religion
3,Kennedy Lock,Martin,Roberts,29,Son,Single,Male,Wellsite geologist,None,No Religion
4,Kennedy Lock,Wendy,Stephens,83,Head,Divorced,Female,Retired Electronics engineer,None,Christian
5,Kennedy Lock,Sylvia,Hussain,47,Head,Married,Female,"Programmer, multimedia",None,Christian
5,Kennedy Lock,Owen,Hussain,52,Husband,Married,Male,Chartered certified accountant,None,Christian
5,Kennedy Lock,Peter,Hussain,22,Son,Single,Male,University Student,None,Christian
1,Watkins Oval,Anna,Nicholson,37,Head,Divorced,Female,Unemployed,None,No Religion
1,Watkins Oval,Douglas,Nicholson,13,Son,NA,Male,Student,None,NA
1,Watkins Oval,Richard,Nicholson,9,Son,NA,Male,Student,None,NA
1,Watkins Oval,Diane,Nicholson,7,Daughter,NA,Female,Student,None,NA
1,Watkins Oval,Kathryn,Nicholson,5,Daughter,NA,Female,Student,None,NA
2,Watkins Oval,Leah,Cooke,46,Head,Single,Female,Interpreter,None,No Religion
2,Watkins Oval,Brenda,Roberts,33,None,Single,Female,Food technologist,None,Christian
2,Watkins Oval,Rachel,Clark,32,None,Single,Female,Museum education officer,None,No Religion
2,Watkins Oval,Neil,Smith,21,None,Single,Male,University Student,None,No Religion
2,Watkins Oval,Damian,Taylor,50,None,Single,Male,Computer games developer,None,Christian
2,Watkins Oval,George,Byrne,21,None,Single,Male,University Student,None,Christian
2,Watkins Oval,Steven,Evans,49,None,Single,Male,Location manager,None,Christian
2,Watkins Oval,Louise,Tomlinson,20,None,Single,Female,University Student,None,Christian
